id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,aideck,receivebyte
3,1,motion,motion
4,5,motion,deltaX
5,5,motion,deltaY
6,2,motion,shutter
7,1,motion,maxRaw
8,1,motion,minRaw
9,1,motion,Rawsum
10,1,motion,outlierCount
11,1,motion,squal
12,7,motion,std
13,7,ring,fadeTime
14,1,loco,mode
15,7,loco,spiWr
16,7,loco,spiRe
17,2,ranging,state
18,7,ranging,distance0
19,7,ranging,distance1
20,7,ranging,distance2
21,7,ranging,distance3
22,7,ranging,distance4
23,7,ranging,distance5
24,7,ranging,distance6
25,7,ranging,distance7
26,7,ranging,pressure0
27,7,ranging,pressure1
28,7,ranging,pressure2
29,7,ranging,pressure3
30,7,ranging,pressure4
31,7,ranging,pressure5
32,7,ranging,pressure6
33,7,ranging,pressure7
34,7,tdoa2,d7-0
35,7,tdoa2,d0-1
36,7,tdoa2,d1-2
37,7,tdoa2,d2-3
38,7,tdoa2,d3-4
39,7,tdoa2,d4-5
40,7,tdoa2,d5-6
41,7,tdoa2,d6-7
42,7,tdoa2,cc0
43,7,tdoa2,cc1
44,7,tdoa2,cc2
45,7,tdoa2,cc3
46,7,tdoa2,cc4
47,7,tdoa2,cc5
48,7,tdoa2,cc6
49,7,tdoa2,cc7
50,2,tdoa2,dist7-0
51,2,tdoa2,dist0-1
52,2,tdoa2,dist1-2
53,2,tdoa2,dist2-3
54,2,tdoa2,dist3-4
55,2,tdoa2,dist4-5
56,2,tdoa2,dist5-6
57,2,tdoa2,dist6-7
58,1,twr,rangingSuccessRate0
59,1,twr,rangingPerSec0
60,1,twr,rangingSuccessRate1
61,1,twr,rangingPerSec1
62,1,twr,rangingSuccessRate2
63,1,twr,rangingPerSec2
64,1,twr,rangingSuccessRate3
65,1,twr,rangingPerSec3
66,1,twr,rangingSuccessRate4
67,1,twr,rangingPerSec4
68,1,twr,rangingSuccessRate5
69,1,twr,rangingPerSec5
70,2,oa,front
71,2,oa,back
72,2,oa,up
73,2,oa,left
74,2,oa,right
75,7,usd,spiWrBps
76,7,usd,spiReBps
77,7,usd,fatWrBps
78,3,motor,m1
79,3,motor,m2
80,3,motor,m3
81,3,motor,m4
82,3,pwm,m1_pwm
83,3,pwm,m2_pwm
84,3,pwm,m3_pwm
85,3,pwm,m4_pwm
86,3,pwm,cycletime
87,7,pm,vbat
88,2,pm,vbatMV
89,7,pm,extVbat
90,2,pm,extVbatMV
91,7,pm,extCurr
92,7,pm,chargeCurrent
93,4,pm,state
94,1,pm,batteryLevel
95,1,radio,rssi
96,1,radio,isConnected
97,5,gyro,xRaw
98,5,gyro,yRaw
99,5,gyro,zRaw
100,7,gyro,xVariance
101,7,gyro,yVariance
102,7,gyro,zVariance
103,7,gyro,x
104,7,gyro,y
105,7,gyro,z
106,7,pid_attitude,roll_outP
107,7,pid_attitude,roll_outI
108,7,pid_attitude,roll_outD
109,7,pid_attitude,pitch_outP
110,7,pid_attitude,pitch_outI
111,7,pid_attitude,pitch_outD
112,7,pid_attitude,yaw_outP
113,7,pid_attitude,yaw_outI
114,7,pid_attitude,yaw_outD
115,7,pid_rate,roll_outP
116,7,pid_rate,roll_outI
117,7,pid_rate,roll_outD
118,7,pid_rate,pitch_outP
119,7,pid_rate,pitch_outI
120,7,pid_rate,pitch_outD
121,7,pid_rate,yaw_outP
122,7,pid_rate,yaw_outI
123,7,pid_rate,yaw_outD
124,3,colAv,latency
125,7,ctrlINDI,cmd_thrust
126,7,ctrlINDI,cmd_roll
127,7,ctrlINDI,cmd_pitch
128,7,ctrlINDI,cmd_yaw
129,7,ctrlINDI,r_roll
130,7,ctrlINDI,r_pitch
131,7,ctrlINDI,r_yaw
132,7,ctrlINDI,u_act_dyn_p
133,7,ctrlINDI,u_act_dyn_q
134,7,ctrlINDI,u_act_dyn_r
135,7,ctrlINDI,du_p
136,7,ctrlINDI,du_q
137,7,ctrlINDI,du_r
138,7,ctrlINDI,ang_accel_ref_p
139,7,ctrlINDI,ang_accel_ref_q
140,7,ctrlINDI,ang_accel_ref_r
141,7,ctrlINDI,rate_d[0]
142,7,ctrlINDI,rate_d[1]
143,7,ctrlINDI,rate_d[2]
144,7,ctrlINDI,uf_p
145,7,ctrlINDI,uf_q
146,7,ctrlINDI,uf_r
147,7,ctrlINDI,Omega_f_p
148,7,ctrlINDI,Omega_f_q
149,7,ctrlINDI,Omega_f_r
150,7,ctrlINDI,n_p
151,7,ctrlINDI,n_q
152,7,ctrlINDI,n_r
153,7,ctrlMel,cmd_thrust
154,7,ctrlMel,cmd_roll
155,7,ctrlMel,cmd_pitch
156,7,ctrlMel,cmd_yaw
157,7,ctrlMel,r_roll
158,7,ctrlMel,r_pitch
159,7,ctrlMel,r_yaw
160,7,ctrlMel,accelz
161,7,ctrlMel,zdx
162,7,ctrlMel,zdy
163,7,ctrlMel,zdz
164,7,ctrlMel,i_err_x
165,7,ctrlMel,i_err_y
166,7,ctrlMel,i_err_z
167,7,controller,cmd_thrust
168,7,controller,cmd_roll
169,7,controller,cmd_pitch
170,7,controller,cmd_yaw
171,7,controller,r_roll
172,7,controller,r_pitch
173,7,controller,r_yaw
174,7,controller,accelz
175,7,controller,actuatorThrust
176,7,controller,roll
177,7,controller,pitch
178,7,controller,yaw
179,7,controller,rollRate
180,7,controller,pitchRate
181,7,controller,yawRate
182,5,controller,ctr_yaw
183,7,ext_pos,X
184,7,ext_pos,Y
185,7,ext_pos,Z
